q4_vals,q4_groups,q5_vals,q5_groups,Age,Cond,Score
55,G1,64,G1,1,1,9
57,G1,63,G1,1,2,7
56,G1,65,G1,1,3,11
52,G1,59,G1,1,1,8
45,G1,52,G1,1,2,9
55,G1,45,G1,1,3,13
63,G1,59,G1,1,1,6
62,G1,61,G1,1,2,6
43,G2,51,G2,1,3,8
49,G2,45,G2,1,1,8
54,G2,39,G2,1,2,6
44,G2,44,G2,1,3,6
45,G2,47,G2,1,1,10
40,G2,39,G2,1,2,6
62,G2,41,G2,1,3,14
57,G2,39,G2,1,1,4
34,G3,66,G3,1,2,11
32,G3,43,G3,1,3,11
45,G3,50,G3,1,1,6
34,G3,43,G3,1,2,6
60,G3,47,G3,1,3,13
68,G3,41,G3,1,1,5
54,G3,45,G3,1,2,3
55,G3,58,G3,1,3,13
,,,,1,1,7
,,,,1,2,8
,,,,1,3,10
,,,,1,1,7
,,,,1,2,7
,,,,1,3,11
,,,,2,1,8
,,,,2,2,10
,,,,2,3,14
,,,,2,1,6
,,,,2,2,7
,,,,2,3,11
,,,,2,1,4
,,,,2,2,8
,,,,2,3,18
,,,,2,1,6
,,,,2,2,10
,,,,2,3,14
,,,,2,1,7
,,,,2,2,4
,,,,2,3,13
,,,,2,1,6
,,,,2,2,7
,,,,2,3,22
,,,,2,1,5
,,,,2,2,10
,,,,2,3,17
,,,,2,1,7
,,,,2,2,6
,,,,2,3,16
,,,,2,1,9
,,,,2,2,7
,,,,2,3,12
,,,,2,1,7
,,,,2,2,7
,,,,2,3,11
